h3_d,traffic,geometry
8419581ffffffff,6763.0,"POLYGON ((-2.4999205862383618 51.93282571281686, -2.8349898758090024 51.86728769081595, -2.8858983624278505 51.644863067798326, -2.6038036105138413 51.488565849802725, -2.271266991829784 51.554114861770486, -2.2183050268640825 51.77594783138261, -2.4999205862383618 51.93282571281686))"
84194a1ffffffff,9024.0,"POLYGON ((0.1375276379247935 51.16358931854568, -0.1888571206002735 51.10468408424408, -0.2480030688302645 50.88418280048087, 0.0173959459627047 50.723237845267455, 0.3412659959096388 50.78225435242318, 0.4022389513239568 51.00210285649395, 0.1375276379247935 51.16358931854568))"
8419417ffffffff,2558.5,"POLYGON ((0.9059592695930241 52.740322844829585, 0.5717546204319861 52.68681682516413, 0.5083742960131257 52.470965769122905, 0.7773082053426663 52.30926292063635, 1.1088446634075162 52.362889095315474, 1.1741013424177231 52.57809625443504, 0.9059592695930241 52.740322844829585))"
8419767ffffffff,4168.0,"POLYGON ((-2.9044742354196362 57.013788983822224, -3.273866682542633 56.9568887785022, -3.328180913980186 56.74718245808715, -3.01563624229656 56.59489061693194, -2.6492963785703902 56.651708723392126, -2.5924651494510482 56.86089782178923, -2.9044742354196362 57.013788983822224))"
84190c3ffffffff,1041.0,"POLYGON ((-5.258355948588892 57.64437264529432, -5.635302233075714 57.58129209932859, -5.680905616975902 57.37091274308833, -5.352332650811875 57.22407024696136, -4.978419989774982 57.28697467112096, -4.930062442419942 57.496894226739585, -5.258355948588892 57.64437264529432))"
84192b1ffffffff,4140.0,"POLYGON ((-3.695882864334192 58.09036932741895, -4.074649368895614 58.03312351198522, -4.126991114873297 57.82571987945591, -3.8032758095873134 57.67604663636835, -3.4276701632043314 57.73316035900423, -3.372636198754087 57.940076176202695, -3.695882864334192 58.09036932741895))"
84195d9ffffffff,12440.0,"POLYGON ((-0.492449420292738 52.30184375904422, -0.8265638049775317 52.24320415411095, -0.884744991414505 52.02432670117968, -0.610770828755897 51.86471285963678, -0.2792642267932731 51.923429301732135, -0.2191374344592494 52.1416808182628, -0.492449420292738 52.30184375904422))"
84190cbffffffff,1721.0,"POLYGON ((-4.832128370609764 57.9146947479545, -5.210774689530541 57.85350415738145, -5.258355948588892 57.64437264529432, -4.930062442419942 57.496894226739585, -4.554504231164114 57.55791746234239, -4.504167746912054 57.76658303048726, -4.832128370609764 57.9146947479545))"
8418749ffffffff,3251.0,"POLYGON ((-4.267444953340611 51.14349702000106, -4.600207851160955 51.07099991098289, -4.644286465227518 50.84460414227664, -4.357718726381222 50.69126556708913, -4.027370979875902 50.76372049726491, -3.9811872278487312 50.98955367382511, -4.267444953340611 51.14349702000106))"
8419549ffffffff,1576.0,"POLYGON ((-3.232662173506672 55.74913520825947, -3.5932707721232413 55.688698728169676, -3.645027815430241 55.475034259798285, -3.3386080966029845 55.32233018567499, -2.980891398777133 55.382697006412634, -2.926717706486088 55.59583470316195, -3.232662173506672 55.74913520825947))"
84192b7ffffffff,6990.0,"POLYGON ((-4.126991114873297 57.82571987945591, -4.504167746912054 57.76658303048726, -4.554504231164114 57.55791746234239, -4.230375121572935 57.40886755282852, -3.8563066413718285 57.46786317012882, -3.8032758095873134 57.67604663636835, -4.126991114873297 57.82571987945591))"
84195a1ffffffff,8462.0,"POLYGON ((-4.129513118199026 51.817626771053575, -4.4660000869576715 51.746813365129135, -4.511068269733461 51.522109808622666, -4.221807501103972 51.36877454450329, -3.887796601255635 51.43954352306408, -3.8405822694203735 51.663689633435816, -4.129513118199026 51.817626771053575))"
8419517ffffffff,5814.0,"POLYGON ((-3.4498972300039092 53.43582608369586, -3.7953758791620262 53.37020410063899, -3.8441992428094536 53.15019864830769, -3.549786522387839 52.99636458924467, -3.206952240464345 53.06194573007344, -3.1558995499871223 53.28139914998044, -3.4498972300039092 53.43582608369586))"
8419761ffffffff,3525.0,"POLYGON ((-2.4774126747908296 57.27726577671322, -2.8482124005404197 57.222232629472416, -2.9044742354196362 57.013788983822224, -2.5924651494510482 56.86089782178923, -2.2247654970880335 56.915858409004066, -2.1659918871502364 57.12377982313062, -2.4774126747908296 57.27726577671322))"
8419099ffffffff,2953.0,"POLYGON ((-4.432091066020293 56.56706008245584, -4.800029464620632 56.504457302193494, -4.847937587354297 56.29175944954233, -4.530503421958044 56.14215226894941, -4.1655054990318705 56.20462887944475, -4.115016545961623 56.416835650657156, -4.432091066020293 56.56706008245584))"
8419587ffffffff,9929.0,"POLYGON ((-2.8858983624278505 51.644863067798326, -3.2198193399033754 51.577585137691486, -3.269135743808343 51.35401160736395, -2.9866007657014273 51.198300907861224, -2.6551773603146875 51.26557953029522, -2.6038036105138413 51.488565849802725, -2.8858983624278505 51.644863067798326))"
8419411ffffffff,5286.0,"POLYGON ((1.3060354519418436 53.006722595215216, 0.9709866085705763 52.954958433271635, 0.9059592695930241 52.740322844829585, 1.1741013424177231 52.57809625443504, 1.5064520940764745 52.62999102873953, 1.5733445266142267 52.84398012047066, 1.3060354519418436 53.006722595215216))"
8419439ffffffff,3293.5,"POLYGON ((0.0881496903952254 53.224075392796365, -0.2505591566288708 53.16901279799396, -0.3116993939681175 52.95311847358758, -0.0361147185732641 52.79290831054853, 0.2998889605792325 52.84805632123376, 0.3629988700845644 53.063327159303455, 0.0881496903952254 53.224075392796365))"
8419595ffffffff,6732.0,"POLYGON ((-2.046007407283445 51.17431350251981, -2.376038954151443 51.108741374360854, -2.4278571007773357 50.8852111237168, -2.1516275450615745 50.727861827083494, -1.8240736320665871 50.79346886359795, -1.7702838748075804 51.01638818845673, -2.046007407283445 51.17431350251981))"
84190ddffffffff,3229.0,"POLYGON ((-4.554504231164114 57.55791746234239, -4.930062442419942 57.496894226739585, -4.978419989774982 57.28697467112096, -4.653930733454295 57.138551275144934, -4.281427926516645 57.19942426181257, -4.230375121572935 57.40886755282852, -4.554504231164114 57.55791746234239))"
84195c9ffffffff,9573.0,"POLYGON ((-1.5511617890707445 53.15493806844753, -1.8922035727902615 53.09468342978071, -1.9475671459692359 52.87637761485581, -1.6639830990893418 52.71891873856535, -1.3256094626704524 52.77920249606426, -1.2681654753927085 52.99691378235404, -1.5511617890707445 53.15493806844753))"
841959bffffffff,9634.0,"POLYGON ((-0.8423483509129407 50.983547530682785, -1.169412791364052 50.921308228531196, -1.2251290590785342 50.69901324135018, -0.955674395180558 50.53959295088918, -0.6310947579755037 50.60191112048408, -0.5734974307177894 50.82356886138601, -0.8423483509129407 50.983547530682785))"
8419467ffffffff,3909.0,"POLYGON ((-1.2023594868287244 54.44833340634301, -1.551128223751166 54.39168401096838, -1.6090565564501307 54.17706614785891, -1.320388206673679 54.01967903455429, -0.9744261926913429 54.07635111434092, -0.9143406956744738 54.2903853145996, -1.2023594868287244 54.44833340634301))"
84182d3ffffffff,3145.5,"POLYGON ((-5.009245658835412 52.27564831739932, -5.349394408568886 52.20294969638253, -5.39163649541092 51.97830689396502, -5.095974655253904 51.826891210916145, -4.758311219715988 51.89950984639003, -4.713836061736165 52.12362137819722, -5.009245658835412 52.27564831739932))"
84190d3ffffffff,1614.5,"POLYGON ((-4.012800722101954 56.8392570852694, -4.38228087377666 56.77851756895556, -4.432091066020293 56.56706008245584, -4.115016545961623 56.416835650657156, -3.7485262918440214 56.47745814623005, -3.6961364371045873 56.6884189507176, -4.012800722101954 56.8392570852694))"
84190d5ffffffff,2300.0,"POLYGON ((-4.978419989774982 57.28697467112096, -5.352332650811875 57.22407024696136, -5.39873777982882 57.012904960724015, -5.073940849336985 56.86511101788732, -4.7030308505621825 56.92785629445429, -4.653930733454295 57.138551275144934, -4.978419989774982 57.28697467112096))"
8419461ffffffff,5170.0,"POLYGON ((-0.7927922069527693 54.716568356707405, -1.142667374167699 54.66171753702536, -1.2023594868287244 54.44833340634301, -0.9143406956744738 54.2903853145996, -0.5673096872014503 54.345268907795685, -0.5054685632911888 54.558065560609066, -0.7927922069527693 54.716568356707405))"
841959dffffffff,6412.0,"POLYGON ((-1.6615334244358186 51.46054525866226, -1.9926215982984172 51.39669848571347, -2.046007407283445 51.17431350251981, -1.7702838748075804 51.01638818845673, -1.441706176742335 51.08028037353338, -1.3863540691142426 51.30205040126001, -1.6615334244358186 51.46054525866226))"
84190dbffffffff,1655.5,"POLYGON ((-3.5900690647841698 57.10833683707346, -3.961063857813644 57.04946555598064, -4.012800722101954 56.8392570852694, -3.6961364371045873 56.6884189507176, -3.328180913980186 56.74718245808715, -3.273866682542633 56.9568887785022, -3.5900690647841698 57.10833683707346))"
