h3_d,pop_dens,geometry
892a1062273ffff,290.0,"POLYGON ((-74.16870224586154 40.625055213586265, -74.17079672041011 40.62411505364783, -74.1707209728556 40.62235715464477, -74.16855091024904 40.62153941284367, -74.16645650900348 40.62247950291882, -74.16653209706095 40.624237404655545, -74.16870224586154 40.625055213586265))"
892a1011973ffff,73.0,"POLYGON ((-73.73082988316543 40.93295459518827, -73.73294618722225 40.93201920186404, -73.73288644501429 40.930254565889136, -73.73071056039885 40.929425321873225, -73.72859433279767 40.93036064568096, -73.72865391335593 40.93212528301828, -73.73082988316543 40.93295459518827))"
892a10746a3ffff,1279.0,"POLYGON ((-73.98672193234398 40.61165601499439, -73.98881915252349 40.610719357125184, -73.98875023901745 40.6089617630626, -73.98658426476213 40.608140824696626, -73.9844871187422 40.609077412985016, -73.98455587281755 40.61083500921741, -73.98672193234398 40.61165601499439))"
892a100e857ffff,4309.0,"POLYGON ((-73.81324769889524 40.71393351890988, -73.81535265371943 40.712998953069395, -73.81529009806945 40.711239117985805, -73.81312274773732 40.710413847111774, -73.81101786825269 40.71134834352877, -73.81108026376023 40.71310818024047, -73.81324769889524 40.71393351890988))"
892a10c4b77ffff,63.0,"POLYGON ((-73.79258878551904 41.04010729231045, -73.79470880743975 41.039169598811014, -73.79464659516466 41.037402609669336, -73.79246452335526 41.03657331247344, -73.79034457793249 41.0375109362561, -73.79040662782079 41.039277926948586, -73.79258878551904 41.04010729231045))"
892a100ca83ffff,1531.0,"POLYGON ((-73.88674305125141 40.6776883086566, -73.88884504601111 40.67675277547821, -73.88877978350135 40.674993729928815, -73.88661268612097 40.674170215697345, -73.8845107662228 40.675105679377914, -73.88457586884306 40.67686472678497, -73.88674305125141 40.6776883086566))"
892a100168fffff,745.0,"POLYGON ((-73.8670166226931 40.89772137920057, -73.86912885435616 40.89678382500234, -73.86906402783036 40.895019935648975, -73.86688713103825 40.89419359870241, -73.86477497503992 40.89513108321251, -73.86483964016851 40.896894974354474, -73.8670166226931 40.89772137920057))"
892a100a863ffff,3466.0,"POLYGON ((-73.92465708164922 40.83267426744184, -73.92676533206813 40.83173634500241, -73.92669842753098 40.82997387593857, -73.92452343351928 40.82914932734093, -73.92241525826957 40.83008718007038, -73.92248200186188 40.83184965110463, -73.92465708164922 40.83267426744184))"
892a100f213ffff,11.0,"POLYGON ((-73.92713359181565 40.784987328914, -73.92923965593323 40.7840498784903, -73.92917272636616 40.78228845854599, -73.92699989329893 40.78146448704294, -73.92489390418565 40.782401867800694, -73.92496067313486 40.78416328972463, -73.92713359181565 40.784987328914))"
892a1015947ffff,697.0,"POLYGON ((-73.6238066237495 40.808496258418465, -73.62591925501512 40.807564195137964, -73.62586369445192 40.80580231844458, -73.62369566342144 40.80497250399403, -73.62158310873454 40.80590449804515, -73.62163850849906 40.80766637577336, -73.6238066237495 40.808496258418465))"
892a1004da7ffff,264.0,"POLYGON ((-73.61317139326435 40.67397634163903, -73.61527817208162 40.673045922317236, -73.61522316932384 40.6712870183063, -73.61306154762883 40.670458532605636, -73.61095484500487 40.67138888284788, -73.6110096878823 40.67314778786754, -73.61317139326435 40.67397634163903))"
892a10c5b93ffff,176.0,"POLYGON ((-73.85398010831652 41.07038732068456, -73.85610037667328 41.06944815506711, -73.8560358033659 41.0676804960886, -73.85385112429341 41.06685200098297, -73.85173093222635 41.06779109676032, -73.85179534294161 41.06955875748054, -73.85398010831652 41.07038732068456))"
892a10ccd17ffff,333.0,"POLYGON ((-73.95053708913927 41.05990407243274, -73.95265510711597 41.05896321438944, -73.9525868989885 41.057195771323045, -73.95040083539385 41.05636918425293, -73.9482828931888 41.05730997232063, -73.9483509388063 41.059077417431205, -73.95053708913927 41.05990407243274))"
892a100f3abffff,971.0,"POLYGON ((-73.90698542417901 40.761719793585584, -73.90909081315594 40.760782969941324, -73.90902467344941 40.759022065332566, -73.90685330522624 40.758197982447534, -73.90474799127905 40.759134736479346, -73.90481397052487 40.76089564300583, -73.90698542417901 40.761719793585584))"
892a1005447ffff,880.0,"POLYGON ((-73.74240978643918 40.76858211175261, -73.74451847856956 40.76764826974695, -73.74445851065201 40.76588724264569, -73.74229001112398 40.765060056141586, -73.7401813948583 40.7659938287765, -73.74024120225558 40.76775485728344, -73.74240978643918 40.76858211175261))"
892a106208fffff,1827.0,"POLYGON ((-74.12627704281151 40.63154495727206, -74.12837258876174 40.630605506953536, -74.12829841959241 40.628847464279595, -74.12612886401983 40.62802886931942, -74.12403339160282 40.62896824983049, -74.12410740122465 40.630726295106406, -74.12627704281151 40.63154495727206))"
892a101a563ffff,16.0,"POLYGON ((-73.81128907350394 41.021066589692495, -73.81340789188017 41.02012875001352, -73.81334499875047 41.01836217257352, -73.81116344949758 41.01753343319959, -73.80904470746377 41.01847120315219, -73.80910743834002 41.020237782202244, -73.81128907350394 41.021066589692495))"
892a1075503ffff,1951.0,"POLYGON ((-74.02732907079144 40.61318668967469, -74.02942561599416 40.612249265851894, -74.02935518005626 40.61049163455665, -74.0271883583514 40.60967142478576, -74.02509188711296 40.61060877896589, -74.02516216361461 40.61236641255678, -74.02732907079144 40.61318668967469))"
892a1001473ffff,1535.0,"POLYGON ((-73.84966710606533 40.892873073189875, -73.85177943655927 40.891935894373304, -73.85171527012105 40.890172114004656, -73.84953893455378 40.88934551071505, -73.84742667979518 40.890282619874526, -73.84749068486808 40.89204640197786, -73.84966710606533 40.892873073189875))"
892a1000db3ffff,113.0,"POLYGON ((-73.72226481137189 40.80610418050394, -73.7243755550688 40.80517030875872, -73.72431629637597 40.80340845954521, -73.72214645476409 40.80258048073272, -73.7200357871527 40.80351428310047, -73.72009488506731 40.80527613365537, -73.72226481137189 40.80610418050394))"
892a1062a33ffff,270.0,"POLYGON ((-74.14065127086114 40.56779520360223, -74.14274371332918 40.56685619424338, -74.14266910714827 40.56509956643242, -74.14050221761215 40.5642819453298, -74.13840984840729 40.56522088492459, -74.13848429547484 40.56697751538328, -74.14065127086114 40.56779520360223))"
892a107469bffff,2295.0,"POLYGON ((-73.99139937162379 40.62208677720648, -73.99349697159923 40.621149918383296, -73.99342786764545 40.619392092501634, -73.99126132321666 40.618571123256295, -73.98916379741065 40.61950791248122, -73.98923274186353 40.62126574054693, -73.99139937162379 40.62208677720648))"
892a100f16fffff,1670.0,"POLYGON ((-73.89395790222761 40.756774428628816, -73.89606330741925 40.75583790037825, -73.89599766388093 40.754077106583644, -73.8938267755787 40.753252839159394, -73.89172144546542 40.754189297822045, -73.89178692857558 40.755950093494036, -73.89395790222761 40.756774428628816))"
892a1075483ffff,1512.0,"POLYGON ((-74.03467795125948 40.636742862137524, -74.0367754125046 40.63580504348989, -74.03670466597298 40.634046889324296, -74.03453661779098 40.633226551485706, -74.03243923054801 40.634164300456, -74.03250981748442 40.63592245693945, -74.03467795125948 40.636742862137524))"
892a103148fffff,134.0,"POLYGON ((-73.61866454707126 40.644806127554716, -73.62076991978516 40.64387592094504, -73.6207147454359 40.642117661530854, -73.61855435805418 40.641289607696244, -73.61644906141217 40.642219745247, -73.61650407607964 40.64397800568849, -73.61866454707126 40.644806127554716))"
892a10044bbffff,173.0,"POLYGON ((-73.64985336076232 40.75234785917744, -73.65196299702693 40.75141591371346, -73.65190652502729 40.749655267286, -73.64974057717633 40.74882656520107, -73.64763101717945 40.74975844145152, -73.64768732876547 40.75151908899764, -73.64985336076232 40.75234785917744))"
892a10056c3ffff,13.0,"POLYGON ((-73.76620871837532 40.7759186416645, -73.76831730836815 40.77498427799106, -73.76825643704497 40.77322308409877, -73.76608713629761 40.772396252397655, -73.76397862207578 40.773330546656894, -73.76403933282994 40.77509174202859, -73.76620871837532 40.7759186416645))"
892a1005d7bffff,1127.0,"POLYGON ((-73.71205114033944 40.692701584846894, -73.71415697700957 40.69176912688046, -73.7140982444497 40.69000978241905, -73.71193383522336 40.689182894606446, -73.70982807432232 40.690115283323884, -73.70988664687816 40.69187462910006, -73.71205114033944 40.692701584846894))"
892a103b027ffff,988.0,"POLYGON ((-73.78521704249017 40.64598016114691, -73.7873194633073 40.64504685330569, -73.78725804826333 40.64328852733083, -73.78509437208369 40.64246350765058, -73.78299202652619 40.64339674617862, -73.78305328188829 40.64515507369729, -73.78521704249017 40.64598016114691))"
892a1001d4fffff,902.0,"POLYGON ((-73.8235226237479 40.822075130118414, -73.82563224552405 40.821139202103794, -73.8255691590743 40.81937698100923, -73.82339661172915 40.81855068627057, -73.8212870655896 40.819486544738155, -73.82134999115823 40.82124876748862, -73.8235226237479 40.822075130118414))"
892a1062cd7ffff,166.0,"POLYGON ((-74.0993697009437 40.60062741151809, -74.10146436429581 40.599688798498995, -74.10139125097248 40.5979314422814, -74.09922363363819 40.59711269656089, -74.0971290438555 40.598051239843464, -74.09720199783719 40.59980859858027, -74.0993697009437 40.60062741151809))"
892a103842fffff,777.0,"POLYGON ((-73.75835237699026 40.609709385927204, -73.7604536620932 40.60877697017815, -73.76039330010748 40.60701945417849, -73.7582318124558 40.60619435246302, -73.75613060262809 40.607126698975776, -73.75619080517646 40.60888421643749, -73.75835237699026 40.609709385927204))"
