h3_d,traffic_ct,geometry
872a16311ffffff,23,"POLYGON ((-74.3985592253322 41.50502737469296, -74.41346643586071 41.498348572700685, -74.41286154477095 41.485911054488625, -74.39735755171378 41.48015216854616, -74.38245401099256 41.48682748789291, -74.38305079329561 41.49926517484198, -74.3985592253322 41.50502737469296))"
872b9b36cffffff,116,"POLYGON ((-78.84114548603907 43.006881442407014, -78.85586855400865 42.99950914646272, -78.85402209724585 42.9868990328226, -78.83746104868005 42.98166034421403, -78.82274064492518 42.98902881388558, -78.8245786245949 43.00163979745719, -78.84114548603907 43.006881442407014))"
872b9921cffffff,245,"POLYGON ((-77.66319056282823 43.06187162373907, -77.67812275267711 43.054645841868236, -77.67659729419107 43.04200902094954, -77.66014821296865 43.03659729460106, -77.64521903534515 43.04381930777151, -77.64673592596544 43.05645681498718, -77.66319056282823 43.06187162373907))"
872b890e1ffffff,4,"POLYGON ((-73.87517279137776 42.591096558969504, -73.89050358755117 42.584409175418685, -73.89002730772647 42.57181319895749, -73.87422873318161 42.5659045189958, -73.85890192064376 42.57258840666471, -73.85936969885242 42.58518446915687, -73.87517279137776 42.591096558969504))"
872b8a122ffffff,8,"POLYGON ((-76.09432124600394 43.73469684912262, -76.10971970473777 43.72762765316637, -76.10860986605417 43.71488207152852, -76.09211046071297 43.70920524300087, -76.07671556295217 43.71627073069787, -76.0778165090233 43.729016754136566, -76.09432124600394 43.73469684912262))"
872aa66a8ffffff,2,"POLYGON ((-78.95490746922758 42.18118109051228, -78.9693509319755 42.173865106753304, -78.96750670569378 42.16137336464372, -78.95122718756619 42.156196728950825, -78.93678626337683 42.16350892485806, -78.93862231786252 42.17600154335574, -78.95490746922758 42.18118109051228))"
872b9920affffff,2,"POLYGON ((-77.62726159281162 43.025767711865676, -77.64218775541171 43.01854946548056, -77.6406733647283 43.005917132209916, -77.62424136698934 43.0005023640206, -77.60931822219953 43.00771684553618, -77.61082405659236 43.02034985910759, -77.62726159281162 43.025767711865676))"
872b88068ffffff,3,"POLYGON ((-74.46467338403298 43.4686174366271, -74.48021872853815 43.46178912588246, -74.47956898254093 43.449071422260666, -74.4633827191917 43.443181849023205, -74.44784135187174 43.45000657809941, -74.44848227044886 43.46272446103424, -74.46467338403298 43.4686174366271))"
872a1632bffffff,4,"POLYGON ((-74.27517125908872 41.471317991778164, -74.29008408433847 41.46465793068976, -74.28951254762855 41.45222534407899, -74.2740362837766 41.446452667895116, -74.25912715416659 41.453109256903794, -74.259690592561 41.46554199319108, -74.27517125908872 41.471317991778164))"
872b8d446ffffff,1,"POLYGON ((-73.5651972512672 43.66361771292066, -73.58093264583759 43.656901299696536, -73.58053171270308 43.64415720939051, -73.5644042944267 43.638129496831134, -73.54867315897765 43.64484238868119, -73.54906518255943 43.657586513409264, -73.5651972512672 43.66361771292066))"
872b99226ffffff,76,"POLYGON ((-77.57799824990408 43.143143680966965, -77.59297042981385 43.135922503050764, -77.59146571922724 43.12327331023268, -77.57499743067726 43.1178446206596, -77.56002829824705 43.12506203041497, -77.56152440614301 43.13771189689676, -77.57799824990408 43.143143680966965))"
872b99230ffffff,197,"POLYGON ((-77.64089380553187 43.139547074091766, -77.65585482211803 43.13231800626815, -77.65433291307498 43.11967017558924, -77.63785858476116 43.11425072818998, -77.62290059704102 43.121476024555925, -77.624413908015 43.1341245387724, -77.64089380553187 43.139547074091766))"
872b8a10effffff,1,"POLYGON ((-76.11954980563485 43.656851308191506, -76.13491819722258 43.64978433891463, -76.13380321257985 43.63704939418727, -76.11732869726835 43.63138097223804, -76.10196384726407 43.63844423543638, -76.10306997045026 43.6511796256201, -76.11954980563485 43.656851308191506))"
872b9b340ffffff,253,"POLYGON ((-78.93501319506211 43.00045016843357, -78.94971859651066 42.993066523852704, -78.94784672584787 42.98045904902762, -78.93127792118561 42.975234333364874, -78.91657515582652 42.98261414756648, -78.91843855810026 42.99522250683087, -78.93501319506211 43.00045016843357))"
872b8a156ffffff,32,"POLYGON ((-76.09864918027085 43.600248279660576, -76.1140016806675 43.593188237030766, -76.1128939119843 43.58046073400655, -76.09644248259353 43.57479283075219, -76.08109352100648 43.58184917144297, -76.08219244946835 43.59457711628643, -76.09864918027085 43.600248279660576))"
872b99268ffffff,1,"POLYGON ((-77.4124247255132 42.942550536768664, -77.4273577563616 42.93536677422191, -77.42590501998404 42.92274309427416, -77.40952778827639 42.91730253010645, -77.39459782567111 42.92448254402284, -77.39604202582072 42.93710686973367, -77.4124247255132 42.942550536768664))"
872b89095ffffff,1,"POLYGON ((-74.11434418806653 42.71741136596845, -74.12968492348908 42.71068269851256, -74.12914178609184 42.69806876995371, -74.11326645983786 42.69218338412939, -74.09792966674044 42.69890853159715, -74.09846425737119 42.711522583853416, -74.11434418806653 42.71741136596845))"
872a16cf4ffffff,1,"POLYGON ((-74.7975103119412 42.09255401605874, -74.8125526176263 42.08577868604462, -74.81183214728007 42.073255334103585, -74.79607768175849 42.06750708008488, -74.78103903575702 42.07427887029567, -74.7817511953007 42.086802453326456, -74.7975103119412 42.09255401605874))"
872a16365ffffff,1,"POLYGON ((-74.13598935709102 41.419276160576665, -74.15090390325027 41.41263829104479, -74.15037009537481 41.40021344971596, -74.13492982260595 41.39442634871755, -74.1200189987877 41.40106075885648, -74.12054472520978 41.413485728403, -74.13598935709102 41.419276160576665))"
872aa47acffffff,3,"POLYGON ((-77.33888566130994 42.43349647776037, -77.35366618503595 42.42636308394144, -77.3522493841419 42.41381007635109, -77.33606041224164 42.40838983186571, -77.3212829102698 42.415519507363456, -77.32269135776824 42.428073144678876, -77.33888566130994 42.43349647776037))"
872b8ea4cffffff,1,"POLYGON ((-74.77954211188448 44.245723201566264, -74.79531006713773 44.23879919246085, -74.7945598599836 44.22597875287354, -74.7780508264218 44.22008209055429, -74.76228689626481 44.22700245808697, -74.76302797423932 44.23982312843951, -74.77954211188448 44.245723201566264))"
872b9b30effffff,5,"POLYGON ((-79.05875419711481 43.08744752847633, -79.07346677749727 43.08004092300704, -79.0715574570515 43.067423833231075, -79.05494404723471 43.06221244309183, -79.04023407666571 43.06961520782432, -79.04213490513642 43.08223320245348, -79.05875419711481 43.08744752847633))"
872b99252ffffff,7,"POLYGON ((-77.6048056802228 42.96982816927912, -77.6197172462386 42.96261729760616, -77.61821086139517 42.949992400490025, -77.60180144645359 42.944577697807155, -77.58689289734134 42.95178480872215, -77.58839074552718 42.964410382076366, -77.6048056802228 42.96982816927912))"
872b8a16cffffff,1,"POLYGON ((-75.90458774735589 43.57023591452935, -75.91995928448586 43.56320421343632, -75.91890634405075 43.55047926058915, -75.90249070091834 43.544785597213966, -75.8871227534519 43.55181361056009, -75.88816685895418 43.56453897398674, -75.90458774735589 43.57023591452935))"
872b9b322ffffff,675,"POLYGON ((-79.03882089152815 43.16538737416837, -79.0535618211409 43.157976761300645, -79.0516547183321 43.14534860242536, -79.03501520719907 43.140130152614624, -79.02027690214553 43.14753692157307, -79.02217548270025 43.16016598326933, -79.03882089152815 43.16538737416837))"
872aa4780ffffff,27,"POLYGON ((-77.43181215428804 42.428327979924426, -77.44657662039396 42.42118309097704, -77.44513477189587 42.408632001403994, -77.4289368036927 42.403225155646545, -77.4141753327733 42.41036632134023, -77.4156088341814 42.422918055057636, -77.43181215428804 42.428327979924426))"
872aa66f0ffffff,12,"POLYGON ((-78.93128402383944 42.126041637471985, -78.94571418503062 42.11873339611194, -78.94387849299842 42.10624914444228, -78.92762079282551 42.10107226115857, -78.91319317080242 42.10837671871083, -78.9150207088966 42.12086184240158, -78.93128402383944 42.126041637471985))"
872aa6961ffffff,22,"POLYGON ((-77.72963049944673 42.82921646560832, -77.74447683535048 42.82200078472975, -77.74294092595547 42.80939719081103, -77.72656715806245 42.80400858233846, -77.71172378514166 42.811220502867364, -77.71325121637912 42.82382479122316, -77.72963049944673 42.82921646560832))"
872a10993ffffff,2,"POLYGON ((-73.56909779365202 41.265974412552275, -73.58403663614811 41.259422604695246, -73.5836551562651 41.247021399152594, -73.56834286477277 41.24117195936335, -73.55340786045059 41.24772035757891, -73.55378130933997 41.26012160424538, -73.56909779365202 41.265974412552275))"
872aa6656ffffff,18,"POLYGON ((-78.79042018093466 42.11680601204099, -78.8048704299207 42.10951603459292, -78.803072902697 42.097030545483506, -78.78683328542127 42.09183418250908, -78.77238561412712 42.099120383226335, -78.77417498154941 42.111606722693395, -78.79042018093466 42.11680601204099))"
